main_category,title,average_rating,rating_number,features,description,price,store,categories,details,parent_asin
All Beauty,"Queendom Unlashed Mascara | Volumizing and Lengthening | Boosts Lash Length | Vegan, Cruelty Free, Paraben Free",3.3,32,[],[],,Queendom,[],{'Package Dimensions': '5.28 x 0.94 x 0.63 inches; 0.85 Ounces'},B07RM722DH
All Beauty,"Spray Bottle, RUCKAE Airless Spray Bottle with Fine Mist Sprayer 4pcs 3.4oz/100ml + 1pc 1.7oz/50ml, Vacuum Travel Bottles Clear Refillable Container for Perfume, Toners, Soothing Water, Rose Water",4.3,98,[],[],,Ruckae,[],"{'Brand': 'Ruckae', 'Material': 'Polypropylene', 'Capacity': '100 Milliliters', 'Number of Items': '4', 'Special Feature': 'Mist Spray', 'Package Dimensions': '8.5 x 7.3 x 1.5 inches; 11.99 Ounces'}",B087LVRGN1
All Beauty,"Flag Pole Kit, BicycleStore 5 FT American Flag Pole with Rotating Rings Stainless Steel US Flagpole Rustproof for House Outside Residential and Commercial",4.1,14,[],[],,BicycleStore,[],{'Product Dimensions': '15.75 x 2.95 x 3.35 inches; 1.05 Pounds'},B08BZMBTS6
All Beauty,"3 Pack Hair Towel Wrap, UUJOLY Microfiber Hair Towel Wrap for Women, Super Absorbent Hair Drying Towel Wrap （Pink & Brown & Khaki）",4.3,66,[],[],,UUJOLY,[],"{'Color': 'Brown', 'Brand': 'UUJOLY', 'Towel form type': 'Hair Towel', 'Age Range (Description)': 'Adult', 'Material': 'Microfiber, Coral fleece', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '7.87 x 9.06 x 1.97 inches; 7.84 Ounces', 'Item model number': '234', 'UPC': '682141130213'}",B07MZNT542
All Beauty,Makeup Geek Eyeshadow Pan - Peach Smoothie,4.0,3,[],[],,Makeup Geek,[],"{'Brand': 'Makeup Geek', 'Special Feature': 'Travel size, Matte', 'Number of Items': '1', 'Unit Count': '1.00 Count', 'Skin Type': 'All'}",B0196Q0DZK
All Beauty,8PC Lazy Bird's Nest Plate Hairpin Velvet Bird Nest Shaped Hair Clips Expandable Ponytail Holder Hair Loops Nest Plate Hairpin Hair Claw Clip barrette,4.0,90,[],[],,AhkeaDirectly,[],"{'Brand': 'AhkeaDirectly', 'Hair Type': 'All', 'Age Range (Description)': 'Adult', 'Embellishment': 'Resin', 'Material': 'Plastic', 'Package Dimensions': '6.02 x 5.2 x 2.32 inches; 4.16 Ounces', 'UPC': '761312153890'}",B09NKFQL53
All Beauty,"Mighty Patch Chin from Hero Cosmetics - XL Contoured Hydrocolloid Chin Patch for Blemishes and Pimples, Non-Irritating, Vegan-Friendly, Not Tested on Animals (10 Count)",4.6,273,"['🥇 The Contoured XL Patch: Tackle chin blemishes with a full coverage patch that visibly flattens the look of pimples and helps absorb oil and impurities.', '⏱️ Results in 6-8 Hours: Medical-grade hydrocolloid gently absorbs pimple gunk and reduces the appearance of blemishes. Clinically tested, drug-free, and safe for all skin types.', '🔎 Watch it Work: Apply the chin patch before bed (or anytime throughout the day). When you see it turn white, you know it worked.', '💪 Made to Stay: Mighty Patch Chin was designed to stay in place so it works even when you move your mouth.', '👀 Look familiar? It’s the same chin patch you know and love from Mighty Patch Face! You all couldn’t get enough of the chin patch, so you asked us to package them individually. We got you.']",[],17.99,Mighty Patch,[],"{'Brand': 'Mighty Patch', 'Item Form': 'Sheet', 'Product Benefits': 'Blemishes Treatment', 'Scent': 'Unscented', 'Skin Type': 'Oily, Combination, Sensitive, Dry, Normal', 'Package Dimensions': '6.61 x 3.27 x 0.75 inches; 1.23 Ounces', 'Item model number': 'MP021', 'UPC': '850007468903', 'Manufacturer': 'Hero Cosmetics', 'Country of Origin': 'Korea, Republic of'}",B0BMM44HBF
All Beauty,Avajar Whitening A-Solution Mask 10 Pack - Hydrating Face Masks | Moisturizing Face Mask| Korean Face Mask Sheets Pack,3.3,15,[],[],,a DAILY SELF-CARE COSMETICS avajar,[],"{'Brand': 'a DAILY SELF-CARE COSMETICS avajar', 'Item Form': 'Sheet', 'Product Benefits': 'Hydrating,Skin Whitening', 'Scent': 'Hydrating', 'Skin Type': 'Sensitive', 'Product Dimensions': '5.28 x 1.57 x 6.89 inches; 11.99 Ounces'}",B083BBGVY8
All Beauty,"KIMUSE Lash Enhancing Serum, Castor Oil, Eyelash Growth Serum and Eyebrow Enhancer, Promotes Appearance of Longer, Thicker Eyelashes, Fuller Thicker Lashes & Brows (5ML), Cruelty Free (lash enhancing serum)",3.8,19,[],[],,KIMUSE,[],"{'Use for': 'Face', 'Scent': 'Aloe', 'Brand': 'KIMUSE', 'Unit Count': '1.00 Count', 'Product Dimensions': '5.5 x 0.86 x 0.86 inches; 1.13 Ounces', 'UPC': '887349696800'}",B09BB89YJK
All Beauty,FENJUN HAIR Silky Straight Lace Front Wigs with Baby Hair Pre plucked Frontal Natural Looking Synthetic Hair Middle Parting 2# Black Color Long Straight Wigs for Women Girls,2.9,9,[],[],,FENJUN HAIR,[],"{'Material': 'Synthetic', 'Hair Type': 'Straight', 'Style': 'Straight', 'Brand': 'FENJUN HAIR', 'Age Range (Description)': 'Adult', 'Package Dimensions': '11.38 x 9.29 x 1.57 inches; 14.39 Ounces'}",B08D3LPDQQ
All Beauty,"Easypowder velvet puff, 2.75 inch, Face & Body powder puff (5pcs) (Coral)",3.6,10,[],[],13.0,EASYPOWDER,[],"{'Brand': 'EASYPOWDER', 'Item Dimensions LxWxH': '2.76 x 2.76 x 0.55 inches', 'Recommended Uses For Product': 'Makeup', 'Product Dimensions': '2.76 x 2.76 x 0.55 inches; 1.06 Ounces'}",B08R6YH4QD
All Beauty,Taya Beauty Buriti Nut Intensive Repair Shampoo & Conditioner Duo – Organic Hydrating Shampoo and Conditioner for Dry Damaged Hair - Restorative Hair Care – Travel Size 2 fl oz,3.4,22,[],[],,TAYA I AM.,[],"{'Product Benefits': 'Hydrating', 'Item Form': 'Liquid', 'Brand': 'TAYA I AM.', 'Hair Type': 'All, Dull, Color Treated, Dry, Chemically Treated, Damaged', 'Number of Items': '2', 'Package Dimensions': '5.25 x 3.5 x 1.1 inches; 2 Ounces', 'UPC': '858308002635'}",B086XH7BWW
All Beauty,Passion Twist Crochet Hair Water Wave for Spring Twist Crochet Braiding Hair Extensions (#1B/27 18inch 6packs),4.0,7,[],[],,FQNing,[],"{'Brand': 'FQNing', 'Extension Length': '18 Inches', 'Hair Type': 'Wavy', 'Package Dimensions': '14.57 x 8.9 x 2.6 inches; 14.89 Ounces', 'UPC': '762021465410'}",B07VZMN9MJ
All Beauty,Bellezza Versa Styler 1 Inch Titanium Plates Flat Iron Twisted Hair Straighteners (Blush Pink),3.8,11,[],['Bellezza Versa Styler 1 Inch Titanium Plates Flat Iron Twisted Hair Straighteners (Blush Pink)'],,Bellezza,[],"{'Shape': 'Flat', 'Brand': 'Bellezza', 'Hair Type': 'All', 'Material': 'Titanium', 'Power Source': 'Corded Electric', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '12.64 x 3.66 x 3.46 inches; 1.52 Pounds', 'Manufacturer': 'Cortex USA INC.'}",B07GHPCT6T
All Beauty,"JunHoter Bath Pillows For Tub Neck And Back Support With Suction Cups Design Suitable For Bathtubs,Bathing And Sauna，As A Bath Accessories Gift For Women& Men.",4.5,5,[],[],,JunHoter,[],"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5 x 3 x 1.3 inches; 10.56 Ounces', 'UPC': '753532992908'}",B08Q46XSF7
All Beauty,Celavi Makeup Remover Cleansing Wipes Removing Towelettes 2 Packs - 60 Sheets (Honey),4.7,39,[],"['Honey flavor make-up remover cleansing towelettes help you to clean your make-up at any time during day and night. Slowly lift the front seal and remove tissues as needed. Gently wipe across the face to remove makeup, dirt and oil. Best if used within 45 days after opening. Keep package tightly closed and store in a cool dry place when not in use. Celavi make up remover tissues include 60 tissues per pack and 2 packs in one order. Made in Korea.']",8.99,Celavi Cosmetics,[],"{'Brand': 'Celavi Cosmetics', 'Skin Type': 'Dry', 'Unit Count': '1.00 Count', 'Number of Items': '2', 'Age Range (Description)': 'Adult', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '6.25 x 4.5 x 2.5 inches; 12 Ounces', 'Item model number': 'MK001', 'UPC': '641018313791'}",B01EIT0BUM
All Beauty,"Faux Locs Crochet Hair - 18 Inch Soft Locs 7 Packs Pre Looped Crochet Hair New Faux Locs 21strands/Pack Crochet Hair for Black Women (18inch, 7packs, T30）",4.1,12,[],[],,Aliyesy,[],"{'Brand': 'Aliyesy', 'Material': 'Synthetic', 'Extension Length': '18 Inches', 'Product Dimensions': '17.99 x 3.94 x 0.39 inches; 1.37 Pounds', 'UPC': '745551500004'}",B09GVLGQZZ
All Beauty,OVERMAL Chic Women Roses Barrette Hair Clip Hair Pin Claw,4.5,13,[],[],,,[],"{'Hair Type': 'All', 'Age Range (Description)': 'Adult', 'Unit Count': '1.0 Count', 'Number of Items': '1', 'Pattern': 'Solid', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '2.95 x 2.95 x 2.91 inches; 1.12 Ounces', 'UPC': '638823477473'}",B0155W221M
All Beauty,"J.R. Watkins Natural Moisturizing Hand Cream, Hydrating Hand Moisturizer with Shea Butter, Cocoa Butter, and Avocado Oil, USA Made and Cruelty Free, 3.3oz, Pomegranate & Acai, Single",4.4,376,"['REVITALIZE YOUR SKIN: Leave your hands soft, smooth, and healthily moisturized with J.R Watkins nourishing hand cream. Made with shea butter, cocoa butter, and avocado oil, our hand cream nourishes and hydrates to improve the look and feel of dry, aging, or cracked skin.', 'INSPIRED BY NATURE: Give your skin the best with a natural moisturizing hand cream. We believe in creating high-quality products with ingredients from natural sources that work even with sensitive skin. Never have to worry about irritating parabens, dyes, or phthalates.', 'DELIGHTFUL SCENT: This is more than just a hand cream moisturizer, it’s a treat for your senses. You’ll love the pleasant scent that uplifts your spirits with every application. Liberally apply our shea butter hand cream before bed and slip into a relaxed state of mind.', '100% CRUELTY-FREE: J.R Watkins is proudly certified and recognized by Leaping Bunny as a brand that doesn’t test on animals. Get a cleansing hand cream crafted with a conscience.', 'MADE IN THE USA: Since 1868, right in the USA. That’s 150 years of experience and thousands of satisfied customers.']","['It Is Heart And Passion; A Culmination Of Everything We Do, And Everything Our Employees Have Put Into Making Our Story A Success. We Have A Passion For Food, And Our Products Are Created To Be Feasts For The Eyes And The Palate. Fresh Ingredients Of The Highest Quality Are All We Use In Our Innovative And Delicious Recipes. Simple, Good Food Beautifully Packaged And Bursting With True Flavor']",,J.R. Watkins,[],"{'Brand': 'J.R. Watkins', 'Scent': 'Pomegranate & Acai', 'Item Form': 'Cream', 'Unit Count': '3.3 Fl Oz', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1.25 x 1.25 x 6.87 inches; 3.53 Ounces', 'Item model number': '40557', 'UPC': '818570002894', 'Manufacturer': 'J.R. Watkins'}",B005R82T5E
All Beauty,"10 Pack Wide Headbands, 4 Style knot Turban Hairband Vintage Head wrap Hair Band Elastic Hair Accessories",4.1,119,[],[],,NEWTGAN,[],"{'Age Range (Description)': 'Adult', 'Material': 'Chiffon', 'Fabric Type': 'Velvet', 'Number of Items': '10', 'Brand': 'NEWTGAN', 'Package Dimensions': '12.87 x 6.97 x 2.95 inches; 10.55 Ounces', 'UPC': '703805015872'}",B089QR2Y5B
All Beauty,ShungHO Hairband Cap Woolen Braiding Knitted Headband Warm Hats,4.3,5,[],[],,ShungHO,[],{},B01LNY83DW
All Beauty,The Roots Naturelle Curly Hair Products Bouncy Curls (8 Ounce). Moisturizing Anti-frizz Cream for Natural Hair,3.9,306,"['Create soft, touchable curls to life with this ultra rich hydrating curl cream and curl enhancer. Made specifically to create the spring in your curls. Recognised as one of the best hair products for natural curly hair.', 'Olive and grape seed oils infuse moisture while our proteins strengthen and protect your hair from frizz. A really effective curl enhancing product.', 'Perfect for daily styling - whether you have kinky, curly or wavy curls, Bouncy Curls hair care will bring your curls to life. Reduce the need to use a straightener, curling iron or curling wand if you are in a hurry. Powerful moisturizers for natural hair', 'Apply to your towel-dried hair. Massage in from root to tip saturating strands. Style as desired, allowing hair to dry naturally. The ideal addition to your hair and beauty products collection', 'Popular among women, men and children with curly and afro hair. One of the more popular hair products for African American and Caucasian hair types, black, brown or blonde.']","['Ultra Rich hydrating cream made specifically to create the spring in your curls that only nature can create. Olive and grape seed oils infuse moisture while our proteins strengthen and protect your tresses from frizz. Whether you have kinky, curly, afro or wavy curls, Bouncy curls will deliver the soft touchable curls you’ve always wanted. Directions: Perfect for daily styling. Apply to towel-dried hair. Massage in from root to tip saturating strands. Style as desired, allowing hair to dry naturally. Ingredients include: Panthenol (Pro-vitamin B5), Aloe Barbadensis Leaf Extract, Triticum Vulgare (Wheat Germ Oil), Olea Europea (Olive oil), Butyrospermum Parkii (Shea Butter), Cocos nucifera (Coconut Oil), Fragrance.']",8.14,The Roots Naturelle,[],"{'Hair Type': 'Wavy, Dry, Curly', 'Scent': 'Grape, Coconut', 'Liquid Volume': '8 Fluid Ounces', 'Item Form': 'Cream', 'Brand': 'The Roots Naturelle', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '3 x 3 x 3 inches; 9.6 Ounces', 'UPC': '794168040991 850605005562', 'Manufacturer': 'The Roots Naturelle'}",B00WAOH7NW
All Beauty,"Pureheal's Centella Green Tea Callus Mask 0.88 fl. oz x 3 (25g x 3ea), Centella Asiatica Extract Nourishing and Energizing, by Nature Village",3.7,3,[],[],,Pureheals,[],"{'Brand': 'Pureheals', 'Item Form': 'Mask', 'Product Benefits': 'Nourishing,Soothes', 'Scent': 'Green Tea', 'Unit Count': '3.00 Count', 'Package Dimensions': '6.93 x 5.28 x 0.63 inches; 3.99 Ounces', 'Item model number': 'CTLASM25'}",B087T51FQW
All Beauty,"80W UV Gel Nail Lamp, Professional Auto-Sensing Nail Dryer LED UV Light Nail Machine for Gel Polish Toe Nails with 4 Timers 10/30/60/99S",4.3,211,[],[],,ANNI,[],"{'Brand': 'ANNI', 'Product Dimensions': '8.46 x 8.66 x 3.93 inches; 14.89 Ounces', 'Special Feature': 'Motion Sensor', 'Light Source Type': 'LED', 'Material': 'gel', 'UPC': '782429967262'}",B082SVG2PG
All Beauty,"10 Metallic Plus 2 White Henna Tattoo Sheets - 129+ Temporary Flash Tattoos for Woman & Girls in White, Gold, Silver & Turquoise (Wild & Free Collection)",4.5,10,[],[],,LUKYUS,[],"{'Brand': 'LUKYUS', 'Water Resistance Level': 'Water Resistant', 'Number of Pieces': '129', 'Package Dimensions': '8.4 x 5.5 x 0.2 inches; 1.6 Ounces'}",B016JIGK3M
All Beauty,Cortex International Black Series Duo Platinum 1.25-Inch & 0.5 Inch Travel Size Gemstone Infused Ceramic Plates Duet Flat Iron (Rose Wood),3.6,13,[],[],,Cortex,[],"{'Shape': 'Round', 'Brand': 'Cortex', 'Hair Type': 'Dry, Curly, Straight', 'Material': 'Wood,Ceramic', 'Power Source': 'Corded Electric', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '13.19 x 4.13 x 3.98 inches; 2.2 Pounds', 'Item model number': 'CTX-DUO-125RW', 'UPC': '819804020950', 'Manufacturer': 'International'}",B07DKS4F1W
All Beauty,"EZ Detangler Brush, Morgles 2 Pack Detangling Brush for Curly Hair Ez Hair Detangling Brush for Afro America/ African Hair 3a to 4c Wavy Hair",3.8,63,[],[],,MORGLES,[],"{'Brand': 'MORGLES', 'Shape': 'Oblong', 'Handle Material': 'Rubber', 'Unit Count': '2.00 Count', 'Hair Type': 'Curly,Wavy,Thick', 'Product Dimensions': '9.69 x 2.99 x 1.38 inches; 6.38 Ounces'}",B08GKHQ9P1
All Beauty,Queen of the Fill Eyebrow Pomade (Dark Chocolate)…,3.4,26,[],[],,Elizabeth Mott,[],"{'Brand': 'Elizabeth Mott', 'Item Form': 'Gel,Creamy', 'Color': 'Dark Chocolate', 'Finish Type': 'Polished', 'Product Benefits': 'Smoothening', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1.7 x 1.7 x 0.9 inches; 0.14 Ounces', 'UPC': '858745006180'}",B01N1NC4EJ
All Beauty,"Post Procedure Skin Care, OxygenCeuticals SOS PP Kit, Post Laser Restorative Gel + Serum + Cream, Designed to Moisturize, Soothe and Repair Skin After Lasers, Microneedling, Chemical Peels, Plastic Surgeries.",3.6,11,"['💧TONING GEL + MOISTURE AQUA SERUM + PP CREAM- Intensive 3 steps skin repair care! Our dynamic restrorative hydrating gel type toner, serum, cream for face reduces inflammation and itch. It is perfect facial skin care treatment that heals the complexion after aesthetic procedures such as microdermabrasion, micro needling, laser treatments and praxel.', '💧 PREMIUM SKIN CARE KIT CONTAINED BEST SELLER ITEMS FOR DAILY ROUTINE - Effective yet gentle enough for sensitive,dry, mature, and aging skin types. It helps improve hydration for healthier-looking skin, and antioxidant helps defy the look of aging. The appearance of fine lines and wrinkles is visibly reduced, leaving a silky, hydrated, and more youthful-looking complexion.', '💧 REDUCE WRINKLS, ENHANCE ELASTICITY, & PROMOTE SKIN CYCLE - The premium key ingridents which are Adenosine, Macademia Seed Oil, Arbutin, and more helps to improve the appearance of discoloration, uneven skin tone, fine lines,wrinkles, and a weakened surface. It improves skin tone, and vitalizes the skin, and enhances damaged skin barriers.', '💧 NO PARABENS, SULFATES, PHTHALATES - This product contains 86.4 percent natural ingredients, and like all OxygenCeuticals formulations, it is free of petrolatum, mineral oil, silicones, propylene glycol, paraben and gluten.', '💧 DERMATOLOGIST RECOMMENDED SKIN CARE PRODUCTS - OxygenCeuticals has grown to be a trusted medical aesthetic skincare brand, and its products are used by dermatologists, plastic surgeons and medical aesthetic professionals in more than 600 famous aesthetic institutions in South Korea alone. The medical aesthetic professionals use OxygenCeuticals products to complement before and after laser skin care procedures.']",[],87.0,OxygenCeuticals,[],"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '0.98 x 0.98 x 5.11 inches; 9.63 Ounces', 'Item model number': 'OCRKIT0003'}",B07FQ93GYV
All Beauty,"Gentle Facial Cleanser w/Moroccan Rose Water, Calendula, Aloe| Great for Dry, Sensitive and Combination Skin. Face Wash, Acne Defense,Anti-Breakout, Blemishes | 6oz.",4.0,50,[],[],,MARGANO,[],"{'Item Form': 'Cream', 'Skin Type': 'Sensitive', 'Brand': 'MARGANO', 'Scent': 'Rose', 'Age Range (Description)': 'Adult', 'Package Dimensions': '7.2 x 2.01 x 1.93 inches; 8.47 Ounces'}",B07T4JF9M7
All Beauty,Fifth & Skin Age Defying Face Serum - BIG 2 OZ. - Hyaluronic Acid with Vitamin C - Vegan Moisturizer - Antiaging Face Serum - Plump Fine Lines - Serum for Aging Skin,4.2,59,[],[],,Fifth & Skin,[],"{'Skin Type': 'Sensitive', 'Use for': 'Face', 'Scent': 'Green Tea', 'Brand': 'Fifth & Skin', 'Item Form': 'Serum', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5 x 2.5 x 5 inches; 2 Ounces', 'Item model number': 'HAFS001', 'UPC': '781549120175 641938663488'}",B01AS894AU
All Beauty,"Nail Drill Set, Portable Electric Nail Drill Machine, Compact 15000 RPM, Screen Display, LED Auxiliary Light, Manicure Pedicure Polishing Shape Tools with 11Pcs Nail Drill Bits and 56Pcs Sanding Bands",4.0,34,[],[],,PALAMELA,[],"{'Brand': 'PALAMELA', 'Power Source': 'Battery Powered', 'Maximum Rotational Speed': '15000 RPM', 'Package Dimensions': '7.28 x 3.19 x 2.64 inches; 8.47 Ounces', 'UPC': '755642930863'}",B0B4D7V2HV
All Beauty,Sunny 40pcs 100g 16inch Tape in Colored Hair Extensions Dark Brown Fade to Honey Blonde Balayage Double Weft Tape in Hair Extensions Real Human Hair,3.8,2,[],[],,Sunny Beauty,[],"{'Brand': 'Sunny Beauty', 'Material': 'Human Hair', 'Hair Type': 'Straight', 'Installation Type': 'Tape', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '16 x 1 x 1 inches; 3.52 Ounces', 'UPC': '639631413158'}",B079N1JZ7Z
All Beauty,4th of July Nail Art Stickers Decals Patriotic Designer Nail Stickers 3D Nail Art Supplies Self Adhesive American Flag Heart Star Lips Butterfly Flame I Love America Nail Stickers (8 Sheets),4.4,73,"['QUANTITY: You will get 8 Sheets 4th of July nail stickers, including USA flag, lips, heart, US flame, stars, numbers, butterflies, etc. The size of each nail sticker is 3.9 x 3.1 inches', 'EASY TO USE: USA nail decals stickers are self-adhesive, not complex water transfer nail decals, so just stick them on your nails, easy and time-saving. Similarly, just peel off them if you want to remove them', 'SAFETY: Patriotic nail stickers are made of environmental friendly, skin friendly, and non-toxic materials. you can use them with confidence. enjoy the fun of DIY nail art with family or friends', 'OCCASIONS: American flag nail stickers are suitable for decorating various nails, including gel nail, acrylic nail, natural nail, false nail, nail tip and more; Suitable for home use or nail salons', 'Helps: Any questions will be answered within 12 hours. If the USA nail stickers is damaged or has serious quality problems, we will replace it for free or refund it in full.']",['Product Name Independence Day Nail Stickers Patriotic US Nail Decals Self-Adhesive 4th of July Great Memorial Day Fingernail Toenail Decoration. Specification: Item Type: Nail Decal/Nail Sticker Material: Paper Size: About 3.9in x 3.1in Color: As the picture shows Quantity: 8 Sheets 4th of July Nail Art Decals How to Use: 1. Clean up your nail surface. 2. Paint your nail polish until it is dry. 3. Use tweezers to peel off the pattern softly from base paper. 4. Stick the pattern on the nail and press the pattern for a few seconds. 5. Cover the American nail stickers with transparent nail polish.'],5.99,KRTBKR,[],"{'Surface Recommendation Nail': '', '': 'Shape Heart', 'Installation Type Self-Adhesive': '', 'Brand': 'KRTBKR', 'Color': 'B', 'Theme': 'Love', 'Number of Pieces': '8', 'Age Range (Description)': 'Adult', 'Reusability': 'Single Use', 'Item Form': 'Sheet', 'Pattern': 'Variety Pack', 'Unit Count': '2.00 count', 'Number of Items': '1', 'Package Dimensions': '3.78 x 2.56 x 0.02 inches; 0.32 Ounces'}",B09SD62B1H
All Beauty,Sinful Colors Finger Nail Polish Color Lacquer Set 10-Piece Collection (Shine),3.8,74,[],[],,Beauty Brags,[],"{'Brand': 'Beauty Brags', 'Item Form': 'Liquid', 'Finish Type': 'Shimmery', 'Material Feature': 'Non-Toxic, Cruelty Free', 'Age Range (Description)': 'adult,teen', 'Unit Count': '5 Fl Oz', 'Number of Items': '10', 'Item Dimensions LxWxH': '6 x 2.5 x 3.5 inches', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '6 x 2.5 x 3.5 inches; 1.25 Pounds', 'UPC': '709872667402'}",B01N11OS9W
All Beauty,Women 4D Silk Fibre Mascara Eyelash Waterproof Extension Volume Long Lasting for women Mascara (Black),3.8,155,[],[],,jumpjisper,[],"{'Special Feature': 'Waterproof', 'Brand': 'Jumpjisper', 'Unit Count': '1 Count', 'Package Information': 'Tube', 'Water Resistance Level': 'Water Resistant', 'Is Discontinued By Manufacturer': 'No', 'UPC': '715002653979'}",B07K8JXPWC
All Beauty,ANNNOAH 5 Colors Waterproof Gel Retractable Roll Up Lip Liner Pencils Set,3.7,54,[],[],,ANNNOAH,[],"{'Brand': 'ANNNOAH', 'Skin Type': 'All', 'Item Form': 'Gel', 'Age Range (Description)': 'Adult', 'Item Dimensions LxWxH': '5.51 x 0.31 x 0.31 inches', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5.51 x 0.31 x 0.31 inches; 0.81 Ounces'}",B07MSKGDJT
All Beauty,Anself 6Pcs Sectioning Clips Clamps Hairdressing Salon Hair Grip Crocodile DIY Accessories Hairpins Plastic,4.3,13,"['100% brand new and high quality', 'Better design than duck clips, which can hold hairs smoothly.', 'It is possible to hold any amount of hair.', 'This sectioning clip is perfect for hair salon Hairdresser and so on.', 'Contours and curves to the shape and make client comfortable.']","['Features:  Better design than duck clips, which can hold hairs smoothly.  It is possible to hold any amount of hair.  This sectioning clip is perfect for hair salon Hairdresser and so on.  Contours and curves to the shape and make client comfortable.  Suitable for Salon and home use, especially for hair styling, hair straight and hair curling..   Specifications:  Material: Plastic  Color: Purple  Quantity: 6Pcs  Length: Approx. 11.5cm / 4.5in  Package size: Approx.10 * 11 * 3.5cm / 3.9 * 4.3 * 1.4in  Total weight: 67g / 2.4oz   Note:  May have Slight shade variation between the actual product and pictures due to illumination, photographic angle and configuration of monitor. We will try our best to send the product with the illustrated color as possible.   Package List:  6 * Alligator Hair Clips']",,Constructan,[],"{'Hair Type': 'Straight', 'Color': 'Purple', 'Material': 'Plastic', 'Unit Count': '6.0 Count', 'Number of Pieces': '6', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.14 x 5.59 x 1.1 inches; 0.35 Ounces', 'Item model number': 'H13459-F', 'UPC': '795622485495 709872183186 709872195899 709127198842', 'Manufacturer': 'Constructan'}",B00R3ZC8M8
All Beauty,"KISSIO Black Mascara,Double-ended Mascara,Mascara 2 in 1,Black Thick Mascara,Stereotype & Thick,Clear Roots,Effective for 12 hours,2 Step,1 Tube",3.4,22,[],[],,KISSIO,[],"{'Color': 'black', 'Brand': 'KISSIO', 'Unit Count': '1.00 Count', 'Package Information': 'Tube', 'Package Type': 'Tube', 'Is Discontinued By Manufacturer': 'No'}",B08GP7CV1S
All Beauty,OUTRE TIMELESS PINEAPPLE PONY - SWEETIE #S1B/30,3.0,13,"['Outre Synthetic Hair Ponytail Timeless Pineapple Ponytail Sweetie', ""Pick your curl pattern and get an instant curly updo with timeless Ponytail's Pineapple Drawstring."", 'These curly puffs feature gorgeous curls that fall down your forehead for an effortlessly tousled look.', 'Innovatively designed with a clip to attach to the front of your hairline, and a drawstring to attach to your hair', ""Timeless Ponytail's Pineapple Drawstring was made for the stylish woman on-the-go.""]","['Outre Synthetic Hair Ponytail Timeless Pineapple Ponytail Sweetie', 'TIMELESS PINEAPPLE PONYTAIL', ""Pick your curl pattern and get an instant curly updo with timeless Ponytail's Pineapple Drawstring. These curly puffs feature gorgeous curls that fall down your forehead for an effortlessly tousled look. Innovatively designed with a clip to attach to the front of your hairline, and a drawstring to attach to your hair, Timeless Ponytail's Pineapple Drawstring was made for the stylish woman on-the-go."", 'HOW TO WEAR', 'Brush your hair back into a high bun.', 'Brush your hair back into a high bun.', 'Attach the piece to your own bun, and pull the drawstring so that it is securely fastened.', 'Attach the piece to your own bun, and pull the drawstring so that it is securely fastened.', 'Extend the front of the piece forward and clip it just behind your hairline, so that the curls fall loosely down your forehead.', 'Extend the front of the piece forward and clip it just behind your hairline, so that the curls fall loosely down your forehead.', 'Fluff the curls, and go!', 'Fluff the curls, and go!', 'Tip:For a more voluminous look, pull your hair up into an even higher bun.', 'Tip:For a more voluminous look, pull your hair up into an even higher bun.']",11.72,Outre,[],"{'Color': '1', 'Material': 'Synthetic', 'Hair Type': 'Curly', 'Style': 'Modern', 'Brand': 'Outre', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '7.75 x 6 x 2.75 inches; 5.6 Ounces', 'UPC': '827298792468', 'Manufacturer': 'OUTRE'}",B079KN4KV9
All Beauty,28 Inch Curly Box Braids Crochet Hair Dark Brown Braiding Hair Goddess Box Braids Crochet Hair,4.7,2,[],[],,JulyQueen,[],"{'Brand': 'JulyQueen', 'Extension Length': '28 Inches', 'Hair Type': 'Curly', 'Package Dimensions': '11.61 x 10.04 x 1.81 inches; 11.96 Ounces'}",B0881M4YJ7
